ID;name;age;note;position;photo;club;drapeau;taille;poids;prix;rarete
4599;Luís Martins;28;69;LB;https://cdn.sofifa.com/players/205/669/20_120.png;https://cdn.sofifa.com/teams/696/60.png;https://cdn.sofifa.com/flags/pt.png;"5'9""";150lbs;900000;Argent
4600;D. Gayle;29;74;ST;https://cdn.sofifa.com/players/205/670/20_120.png;https://cdn.sofifa.com/teams/13/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'9""";172lbs;5500000;Argent
4601;E. Višća;30;83;RM;https://cdn.sofifa.com/players/205/678/20_120.png;https://cdn.sofifa.com/teams/101014/60.png;https://cdn.sofifa.com/flags/ba.png;"5'8""";139lbs;24500000;Or
4602;K. Luckassen;26;61;ST;https://cdn.sofifa.com/players/205/681/20_120.png;https://cdn.sofifa.com/teams/113180/60.png;https://cdn.sofifa.com/flags/nl.png;"6'1""";176lbs;300000;Argent
4603;T. Savanier;28;78;CM;https://cdn.sofifa.com/players/205/686/20_120.png;https://cdn.sofifa.com/teams/70/60.png;https://cdn.sofifa.com/flags/fr.png;"5'8""";152lbs;10500000;Or
4604;G. De Luca;27;66;RW;https://cdn.sofifa.com/players/205/687/20_120.png;https://cdn.sofifa.com/teams/113147/60.png;https://cdn.sofifa.com/flags/it.png;"5'6""";154lbs;675000;Argent
4605;S. Haller;26;81;ST;https://cdn.sofifa.com/players/205/693/20_120.png;https://cdn.sofifa.com/teams/19/60.png;https://cdn.sofifa.com/flags/fr.png;"6'3""";181lbs;22000000;Or
4606;Jander;27;68;CDM;https://cdn.sofifa.com/players/205/699/17_120.png;https://cdn.sofifa.com/teams/1900/60.png;https://cdn.sofifa.com/flags/br.png;"6'0""";168lbs;700000;Argent
4607;S. Delev;30;65;RW;https://cdn.sofifa.com/players/205/701/20_120.png;https://cdn.sofifa.com/teams/1327/60.png;https://cdn.sofifa.com/flags/bg.png;"5'7""";150lbs;1000000;Argent
4608;Z. Feddal;30;78;CB;https://cdn.sofifa.com/players/205/705/20_120.png;https://cdn.sofifa.com/teams/237/60.png;https://cdn.sofifa.com/flags/ma.png;"6'4""";183lbs;8500000;Or
4609;O. Dramé;25;70;RW;https://cdn.sofifa.com/players/205/711/19_120.png;https://cdn.sofifa.com/teams/1889/60.png;https://cdn.sofifa.com/flags/fr.png;"5'9""";154lbs;1900000;Argent
4610;Bruno Andrade;26;67;RM;https://cdn.sofifa.com/players/205/712/20_120.png;https://cdn.sofifa.com/teams/113926/60.png;https://cdn.sofifa.com/flags/pt.png;"5'9""";163lbs;900000;Argent
4611;N. Minotti;25;62;CAM;https://cdn.sofifa.com/players/205/715/18_120.png;https://cdn.sofifa.com/teams/39/60.png;https://cdn.sofifa.com/flags/it.png;"6'2""";172lbs;375000;Argent
4612;G. Brugman;27;72;CM;https://cdn.sofifa.com/players/205/726/20_120.png;https://cdn.sofifa.com/teams/50/60.png;https://cdn.sofifa.com/flags/uy.png;"5'9""";146lbs;3200000;Argent
4613;G. Edwards B;27;67;RM;https://cdn.sofifa.com/players/205/752/20_120.png;https://cdn.sofifa.com/teams/94/60.png;https://cdn.sofifa.com/flags/gb-wls.png;"5'9""";168lbs;800000;Argent
4614;S. Denswil;27;73;CB;https://cdn.sofifa.com/players/205/756/20_120.png;https://cdn.sofifa.com/teams/189/60.png;https://cdn.sofifa.com/flags/nl.png;"6'2""";181lbs;4300000;Argent
4615;D. Stojanović;26;68;GK;https://cdn.sofifa.com/players/205/759/20_120.png;https://cdn.sofifa.com/teams/12/60.png;https://cdn.sofifa.com/flags/mk.png;"6'5""";196lbs;850000;Argent
4616;P. Terracciano;30;71;GK;https://cdn.sofifa.com/players/205/812/20_120.png;https://cdn.sofifa.com/teams/110374/60.png;https://cdn.sofifa.com/flags/it.png;"6'4""";172lbs;1800000;Argent
4617;R. Woods;26;71;CM;https://cdn.sofifa.com/players/205/818/20_120.png;https://cdn.sofifa.com/teams/97/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'8""";154lbs;2800000;Argent
4618;E. Andrada;29;81;GK;https://cdn.sofifa.com/players/205/849/20_120.png;https://cdn.sofifa.com/teams/1369/60.png;https://cdn.sofifa.com/flags/ar.png;"6'4""";183lbs;14500000;Or
4619;L. Pavoletti;31;75;ST;https://cdn.sofifa.com/players/205/850/20_120.png;https://cdn.sofifa.com/teams/1842/60.png;https://cdn.sofifa.com/flags/it.png;"6'2""";187lbs;6000000;Or
4620;M. Livaja;26;76;ST;https://cdn.sofifa.com/players/205/855/20_120.png;https://cdn.sofifa.com/teams/278/60.png;https://cdn.sofifa.com/flags/hr.png;"6'0""";185lbs;9000000;Or
4621;A. Morgan;23;62;ST;https://cdn.sofifa.com/players/205/864/19_120.png;https://cdn.sofifa.com/teams/563/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'10""";157lbs;425000;Argent
4622;R. Kirilov;26;65;RM;https://cdn.sofifa.com/players/205/868/19_120.png;https://cdn.sofifa.com/teams/1327/60.png;https://cdn.sofifa.com/flags/bg.png;"5'7""";132lbs;1000000;Argent
4623;Jairo;26;71;LM;https://cdn.sofifa.com/players/205/869/20_120.png;https://cdn.sofifa.com/teams/573/60.png;https://cdn.sofifa.com/flags/es.png;"5'8""";152lbs;2500000;Argent
4624;F. Diarra;27;66;ST;https://cdn.sofifa.com/players/205/876/20_120.png;https://cdn.sofifa.com/teams/212/60.png;https://cdn.sofifa.com/flags/ml.png;"5'10""";176lbs;675000;Argent
4625;S. Kapino;26;73;GK;https://cdn.sofifa.com/players/205/878/20_120.png;https://cdn.sofifa.com/teams/38/60.png;https://cdn.sofifa.com/flags/gr.png;"6'5""";201lbs;3800000;Argent
4626;C. Woodrow;25;68;ST;https://cdn.sofifa.com/players/205/887/20_120.png;https://cdn.sofifa.com/teams/1932/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";163lbs;1100000;Argent
4627;B. Tashchy;26;66;ST;https://cdn.sofifa.com/players/205/892/20_120.png;https://cdn.sofifa.com/teams/110329/60.png;https://cdn.sofifa.com/flags/ua.png;"6'4""";198lbs;775000;Argent
4628;A. Ring;29;74;CDM;https://cdn.sofifa.com/players/205/895/20_120.png;https://cdn.sofifa.com/teams/112828/60.png;https://cdn.sofifa.com/flags/fi.png;"5'9""";161lbs;4800000;Argent
4629;N. Chalobah;25;74;CDM;https://cdn.sofifa.com/players/205/897/20_120.png;https://cdn.sofifa.com/teams/1795/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";168lbs;6500000;Argent
4630;M. Chiosa;25;67;CB;https://cdn.sofifa.com/players/205/911/20_120.png;https://cdn.sofifa.com/teams/113147/60.png;https://cdn.sofifa.com/flags/it.png;"5'11""";163lbs;850000;Argent
4631;B. Davies;27;80;LB;https://cdn.sofifa.com/players/205/923/20_120.png;https://cdn.sofifa.com/teams/18/60.png;https://cdn.sofifa.com/flags/gb-wls.png;"6'0""";168lbs;14500000;Or
4632;C. Cavlan;28;68;LB;https://cdn.sofifa.com/players/205/926/20_120.png;https://cdn.sofifa.com/teams/100628/60.png;https://cdn.sofifa.com/flags/nl.png;"5'9""";150lbs;775000;Argent
4633;N. Murru;25;73;LB;https://cdn.sofifa.com/players/205/934/20_120.png;https://cdn.sofifa.com/teams/54/60.png;https://cdn.sofifa.com/flags/it.png;"5'11""";163lbs;4700000;Argent
4634;C. Chávez;33;69;CF;https://cdn.sofifa.com/players/205/941/20_120.png;https://cdn.sofifa.com/teams/110093/60.png;https://cdn.sofifa.com/flags/ar.png;"5'7""";146lbs;650000;Argent
4635;S. Lung;31;75;GK;https://cdn.sofifa.com/players/205/942/20_120.png;https://cdn.sofifa.com/teams/101020/60.png;https://cdn.sofifa.com/flags/ro.png;"6'2""";172lbs;4300000;Or
4636;V. Chiricheș;30;74;CB;https://cdn.sofifa.com/players/205/943/20_120.png;https://cdn.sofifa.com/teams/111974/60.png;https://cdn.sofifa.com/flags/ro.png;"6'0""";165lbs;4600000;Argent
4637;João Paulo;29;71;CAM;https://cdn.sofifa.com/players/205/953/20_120.png;https://cdn.sofifa.com/teams/111144/60.png;https://cdn.sofifa.com/flags/br.png;"5'7""";157lbs;2300000;Argent
4638;B. Montenegro;27;72;ST;https://cdn.sofifa.com/players/205/955/20_120.png;https://cdn.sofifa.com/teams/101108/60.png;https://cdn.sofifa.com/flags/py.png;"5'11""";165lbs;3300000;Argent
4639;C. Dunne;27;63;CB;https://cdn.sofifa.com/players/205/956/20_120.png;https://cdn.sofifa.com/teams/83/60.png;https://cdn.sofifa.com/flags/ie.png;"6'2""";190lbs;375000;Argent
4640;D. Texeira;28;69;ST;https://cdn.sofifa.com/players/205/963/20_120.png;https://cdn.sofifa.com/teams/1900/60.png;https://cdn.sofifa.com/flags/uy.png;"6'0""";152lbs;1100000;Argent
4641;S. Ristovski  B;28;77;RB;https://cdn.sofifa.com/players/205/965/20_120.png;https://cdn.sofifa.com/teams/237/60.png;https://cdn.sofifa.com/flags/mk.png;"5'11""";159lbs;7500000;Or
4642;A. Younes;26;75;CAM;https://cdn.sofifa.com/players/205/966/20_120.png;https://cdn.sofifa.com/teams/48/60.png;https://cdn.sofifa.com/flags/de.png;"5'6""";157lbs;7000000;Or
4643;J. Wallace;26;75;RM;https://cdn.sofifa.com/players/205/970/20_120.png;https://cdn.sofifa.com/teams/97/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'10""";154lbs;8000000;Or
4644;J. Bartkowski;28;66;RB;https://cdn.sofifa.com/players/205/975/20_120.png;https://cdn.sofifa.com/teams/110746/60.png;https://cdn.sofifa.com/flags/pl.png;"5'11""";170lbs;550000;Argent
4645;Leo Baptistao;27;78;ST;https://cdn.sofifa.com/players/205/976/20_120.png;https://cdn.sofifa.com/teams/112541/60.png;https://cdn.sofifa.com/flags/br.png;"5'11""";157lbs;11000000;Or
4646;D. Đoković;30;71;CDM;https://cdn.sofifa.com/players/205/983/20_120.png;https://cdn.sofifa.com/teams/110816/60.png;https://cdn.sofifa.com/flags/hr.png;"6'3""";190lbs;2200000;Argent
4647;I. Kiese Thelin;28;71;ST;https://cdn.sofifa.com/players/205/985/20_120.png;https://cdn.sofifa.com/teams/320/60.png;https://cdn.sofifa.com/flags/se.png;"6'2""";181lbs;2400000;Argent
4648;L. Shaw;24;81;LB;https://cdn.sofifa.com/players/205/988/20_120.png;https://cdn.sofifa.com/teams/11/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";165lbs;19000000;Or
4649;C. Chambers;25;75;CB;https://cdn.sofifa.com/players/205/989/20_120.png;https://cdn.sofifa.com/teams/1/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";192lbs;8000000;Or
4650;H. Reed;25;73;CDM;https://cdn.sofifa.com/players/205/990/20_120.png;https://cdn.sofifa.com/teams/144/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'7""";159lbs;4900000;Argent
4651;J. Willems;26;77;LWB;https://cdn.sofifa.com/players/205/995/20_120.png;https://cdn.sofifa.com/teams/1824/60.png;https://cdn.sofifa.com/flags/nl.png;"5'10""";181lbs;9000000;Or
4652;A. Poko;27;73;CDM;https://cdn.sofifa.com/players/205/998/20_120.png;https://cdn.sofifa.com/teams/101026/60.png;https://cdn.sofifa.com/flags/ga.png;"5'8""";159lbs;4100000;Argent
4653;Y. Mvogo;26;76;GK;https://cdn.sofifa.com/players/206/003/20_120.png;https://cdn.sofifa.com/teams/247/60.png;https://cdn.sofifa.com/flags/ch.png;"6'2""";205lbs;7500000;Or
4654;J. Ojala;31;64;CB;https://cdn.sofifa.com/players/206/004/20_120.png;https://cdn.sofifa.com/teams/822/60.png;https://cdn.sofifa.com/flags/fi.png;"6'3""";190lbs;325000;Argent
4655;E. Alioski;28;73;LB;https://cdn.sofifa.com/players/206/006/20_120.png;https://cdn.sofifa.com/teams/8/60.png;https://cdn.sofifa.com/flags/mk.png;"5'8""";139lbs;3400000;Argent
4656;E. Berg;31;72;CB;https://cdn.sofifa.com/players/206/022/20_120.png;https://cdn.sofifa.com/teams/710/60.png;https://cdn.sofifa.com/flags/se.png;"6'4""";196lbs;2300000;Argent
4657;Fran Carnicer;24;67;CM;https://cdn.sofifa.com/players/206/028/16_120.png;https://cdn.sofifa.com/teams/110069/60.png;https://cdn.sofifa.com/flags/es.png;"5'10""";143lbs;925000;Argent
4658;Jefté;26;66;ST;https://cdn.sofifa.com/players/206/031/20_120.png;https://cdn.sofifa.com/teams/113182/60.png;https://cdn.sofifa.com/flags/es.png;"6'2""";174lbs;775000;Argent
4659;Pol Freixanet;28;65;GK;https://cdn.sofifa.com/players/206/032/20_120.png;https://cdn.sofifa.com/teams/110065/60.png;https://cdn.sofifa.com/flags/es.png;"6'3""";176lbs;450000;Argent
4660;J. Dezi;28;71;CM;https://cdn.sofifa.com/players/206/042/20_120.png;https://cdn.sofifa.com/teams/50/60.png;https://cdn.sofifa.com/flags/it.png;"5'10""";150lbs;2400000;Argent
4661;D. Marsura;25;67;LM;https://cdn.sofifa.com/players/206/053/20_120.png;https://cdn.sofifa.com/teams/1844/60.png;https://cdn.sofifa.com/flags/it.png;"6'2""";172lbs;900000;Argent
4662;S. Gündüz;26;62;RM;https://cdn.sofifa.com/players/206/054/20_120.png;https://cdn.sofifa.com/teams/110482/60.png;https://cdn.sofifa.com/flags/de.png;"5'7""";163lbs;350000;Argent
4663;M. De Sciglio;27;78;RB;https://cdn.sofifa.com/players/206/058/20_120.png;https://cdn.sofifa.com/teams/45/60.png;https://cdn.sofifa.com/flags/it.png;"6'0""";172lbs;9000000;Or
4664;S. Sluga;27;66;GK;https://cdn.sofifa.com/players/206/065/20_120.png;https://cdn.sofifa.com/teams/1923/60.png;https://cdn.sofifa.com/flags/hr.png;"6'3""";179lbs;575000;Argent
4665;M. Fornasier;26;65;CB;https://cdn.sofifa.com/players/206/074/20_120.png;https://cdn.sofifa.com/teams/50/60.png;https://cdn.sofifa.com/flags/it.png;"6'1""";176lbs;575000;Argent
4666;S. Johnstone;27;75;GK;https://cdn.sofifa.com/players/206/075/20_120.png;https://cdn.sofifa.com/teams/109/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'4""";187lbs;6000000;Or
4667;R. Hall-Johnson;24;62;RB;https://cdn.sofifa.com/players/206/081/20_120.png;https://cdn.sofifa.com/teams/1930/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'8""";148lbs;350000;Argent
4668;K. Callan-McFadden;25;57;CB;https://cdn.sofifa.com/players/206/082/20_120.png;https://cdn.sofifa.com/teams/563/60.png;https://cdn.sofifa.com/flags/ie.png;"6'1""";172lbs;120000;Bronze
4669;J. Murphy;25;70;RM;https://cdn.sofifa.com/players/206/083/20_120.png;https://cdn.sofifa.com/teams/1961/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'8""";148lbs;2200000;Argent
4670;J. Murphy;25;71;CAM;https://cdn.sofifa.com/players/206/085/20_120.png;https://cdn.sofifa.com/teams/13/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'10""";163lbs;2900000;Argent
4671;H. Toffolo;24;69;LB;https://cdn.sofifa.com/players/206/086/20_120.png;https://cdn.sofifa.com/teams/1939/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";157lbs;1200000;Argent
4672;C. McGeehan;25;67;CAM;https://cdn.sofifa.com/players/206/089/20_120.png;https://cdn.sofifa.com/teams/682/60.png;https://cdn.sofifa.com/flags/gb-nir.png;"5'11""";157lbs;925000;Argent
4673;T. Thorpe;23;62;CB;https://cdn.sofifa.com/players/206/091/17_120.png;https://cdn.sofifa.com/teams/4/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'2""";196lbs;325000;Argent
4674;Patric;27;73;CB;https://cdn.sofifa.com/players/206/098/20_120.png;https://cdn.sofifa.com/teams/46/60.png;https://cdn.sofifa.com/flags/es.png;"6'0""";159lbs;4300000;Argent
4675;D. Babunski;26;65;CAM;https://cdn.sofifa.com/players/206/101/20_120.png;https://cdn.sofifa.com/teams/110752/60.png;https://cdn.sofifa.com/flags/mk.png;"5'10""";150lbs;675000;Argent
4676;S. Dursun;28;72;ST;https://cdn.sofifa.com/players/206/104/20_120.png;https://cdn.sofifa.com/teams/110502/60.png;https://cdn.sofifa.com/flags/de.png;"6'3""";176lbs;3200000;Argent
4677;C. Şahin;25;68;LW;https://cdn.sofifa.com/players/206/106/20_120.png;https://cdn.sofifa.com/teams/110776/60.png;https://cdn.sofifa.com/flags/tr.png;"5'9""";154lbs;1100000;Argent
4678;Y. Chibsah;27;71;CDM;https://cdn.sofifa.com/players/206/109/20_120.png;https://cdn.sofifa.com/teams/160/60.png;https://cdn.sofifa.com/flags/gh.png;"5'10""";172lbs;2700000;Argent
4679;J. Acosta;29;70;LM;https://cdn.sofifa.com/players/206/110/20_120.png;https://cdn.sofifa.com/teams/111326/60.png;https://cdn.sofifa.com/flags/ar.png;"5'10""";165lbs;1700000;Argent
4680;S. Gnabry;24;85;RM;https://cdn.sofifa.com/players/206/113/20_120.png;https://cdn.sofifa.com/teams/21/60.png;https://cdn.sofifa.com/flags/de.png;"5'9""";165lbs;47500000;Or
4681;K. Olsson;25;73;CAM;https://cdn.sofifa.com/players/206/114/20_120.png;https://cdn.sofifa.com/teams/1363/60.png;https://cdn.sofifa.com/flags/se.png;"5'11""";152lbs;1000000;Argent
4682;I. Hayden;25;77;CDM;https://cdn.sofifa.com/players/206/115/20_120.png;https://cdn.sofifa.com/teams/13/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";174lbs;10000000;Or
4683;S. Savić;26;68;RM;https://cdn.sofifa.com/players/206/123/20_120.png;https://cdn.sofifa.com/teams/1873/60.png;https://cdn.sofifa.com/flags/at.png;"5'7""";143lbs;1100000;Argent
4684;W. Katsande;34;71;CDM;https://cdn.sofifa.com/players/206/124/20_120.png;https://cdn.sofifa.com/teams/110929/60.png;https://cdn.sofifa.com/flags/zw.png;"5'10""";172lbs;900000;Argent
4685;D. Cole;24;65;ST;https://cdn.sofifa.com/players/206/134/20_120.png;https://cdn.sofifa.com/teams/142/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";161lbs;725000;Argent
4686;Y. Mbone;27;65;CB;https://cdn.sofifa.com/players/206/139/20_120.png;https://cdn.sofifa.com/teams/212/60.png;https://cdn.sofifa.com/flags/cm.png;"6'1""";181lbs;575000;Argent
4687;K. Coulibaly;28;71;ST;https://cdn.sofifa.com/players/206/141/20_120.png;https://cdn.sofifa.com/teams/71/60.png;https://cdn.sofifa.com/flags/ml.png;"6'6""";192lbs;2400000;Argent
4688;T. Dieng;28;63;CB;https://cdn.sofifa.com/players/206/142/20_120.png;https://cdn.sofifa.com/teams/1954/60.png;https://cdn.sofifa.com/flags/fr.png;"6'2""";174lbs;325000;Argent
4689;B. Uphoff;26;70;GK;https://cdn.sofifa.com/players/206/145/20_120.png;https://cdn.sofifa.com/teams/25/60.png;https://cdn.sofifa.com/flags/de.png;"6'3""";183lbs;1700000;Argent
4690;M. Antonsson;29;66;ST;https://cdn.sofifa.com/players/206/147/20_120.png;https://cdn.sofifa.com/teams/320/60.png;https://cdn.sofifa.com/flags/se.png;"6'0""";176lbs;650000;Argent
4691;L. Aued;33;75;CM;https://cdn.sofifa.com/players/206/152/20_120.png;https://cdn.sofifa.com/teams/110975/60.png;https://cdn.sofifa.com/flags/ar.png;"5'10""";152lbs;3900000;Or
4692;S. Sabelli;27;72;RB;https://cdn.sofifa.com/players/206/159/20_120.png;https://cdn.sofifa.com/teams/190/60.png;https://cdn.sofifa.com/flags/it.png;"5'9""";154lbs;3100000;Argent
4693;A. Ciciretti;26;73;CAM;https://cdn.sofifa.com/players/206/160/20_120.png;https://cdn.sofifa.com/teams/48/60.png;https://cdn.sofifa.com/flags/it.png;"5'7""";137lbs;4700000;Argent
4694;A. Lazaar;27;66;LB;https://cdn.sofifa.com/players/206/161/20_120.png;https://cdn.sofifa.com/teams/112168/60.png;https://cdn.sofifa.com/flags/ma.png;"6'0""";176lbs;575000;Argent
4695;S. Prcić;26;71;CM;https://cdn.sofifa.com/players/206/167/20_120.png;https://cdn.sofifa.com/teams/76/60.png;https://cdn.sofifa.com/flags/ba.png;"5'11""";168lbs;2800000;Argent
4696;J. Turnbull;25;62;CB;https://cdn.sofifa.com/players/206/170/20_120.png;https://cdn.sofifa.com/teams/113926/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";159lbs;375000;Argent
4697;Júnior Urso;31;71;CDM;https://cdn.sofifa.com/players/206/171/20_120.png;https://cdn.sofifa.com/teams/112606/60.png;https://cdn.sofifa.com/flags/br.png;"5'10""";159lbs;2000000;Argent
4698;D. Heintz;26;75;CB;https://cdn.sofifa.com/players/206/198/20_120.png;https://cdn.sofifa.com/teams/25/60.png;https://cdn.sofifa.com/flags/de.png;"6'2""";198lbs;7000000;Or
4699;O. Norburn;27;64;RM;https://cdn.sofifa.com/players/206/202/20_120.png;https://cdn.sofifa.com/teams/127/60.png;https://cdn.sofifa.com/flags/gd.png;"6'1""";181lbs;500000;Argent
4700;W. Zahibo;26;69;CB;https://cdn.sofifa.com/players/206/207/20_120.png;https://cdn.sofifa.com/teams/698/60.png;https://cdn.sofifa.com/flags/cf.png;"6'3""";176lbs;1200000;Argent
4701;P. Nardi;26;73;GK;https://cdn.sofifa.com/players/206/218/20_120.png;https://cdn.sofifa.com/teams/217/60.png;https://cdn.sofifa.com/flags/fr.png;"6'2""";181lbs;3900000;Argent
4702;Juan Cruz;27;71;LB;https://cdn.sofifa.com/players/206/219/20_120.png;https://cdn.sofifa.com/teams/479/60.png;https://cdn.sofifa.com/flags/es.png;"5'11""";174lbs;2100000;Argent
4703;Bigas;29;72;CB;https://cdn.sofifa.com/players/206/222/20_120.png;https://cdn.sofifa.com/teams/467/60.png;https://cdn.sofifa.com/flags/es.png;"5'11""";172lbs;2600000;Argent
4704;D. Cheryshev;29;77;LM;https://cdn.sofifa.com/players/206/225/20_120.png;https://cdn.sofifa.com/teams/461/60.png;https://cdn.sofifa.com/flags/ru.png;"5'10""";163lbs;8500000;Or
4705;Iván López;25;71;RB;https://cdn.sofifa.com/players/206/238/20_120.png;https://cdn.sofifa.com/teams/1853/60.png;https://cdn.sofifa.com/flags/es.png;"5'9""";152lbs;2600000;Argent
4706;M. Stevanović;29;73;RM;https://cdn.sofifa.com/players/206/254/20_120.png;https://cdn.sofifa.com/teams/324/60.png;https://cdn.sofifa.com/flags/ba.png;"5'11""";159lbs;3900000;Argent
4707;T. Hopper;26;63;ST;https://cdn.sofifa.com/players/206/263/20_120.png;https://cdn.sofifa.com/teams/149/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";168lbs;475000;Argent
4708;L. Jans;27;70;RB;https://cdn.sofifa.com/players/206/269/20_120.png;https://cdn.sofifa.com/teams/68/60.png;https://cdn.sofifa.com/flags/lu.png;"5'10""";168lbs;1600000;Argent
4709;C. Bălgrădean;32;72;GK;https://cdn.sofifa.com/players/206/272/20_120.png;https://cdn.sofifa.com/teams/110816/60.png;https://cdn.sofifa.com/flags/ro.png;"6'2""";194lbs;1900000;Argent
4710;O. Shatov;26;79;LM;https://cdn.sofifa.com/players/206/273/18_120.png;https://cdn.sofifa.com/teams/112218/60.png;https://cdn.sofifa.com/flags/ru.png;"5'8""";161lbs;13500000;Or
4711;G. Terziev;28;67;CB;https://cdn.sofifa.com/players/206/295/20_120.png;https://cdn.sofifa.com/teams/1327/60.png;https://cdn.sofifa.com/flags/bg.png;"6'0""";159lbs;1000000;Argent
4712;L. Milivojević;29;79;CDM;https://cdn.sofifa.com/players/206/304/20_120.png;https://cdn.sofifa.com/teams/1799/60.png;https://cdn.sofifa.com/flags/rs.png;"6'1""";176lbs;11000000;Or
4713;J. Ferri;28;73;CM;https://cdn.sofifa.com/players/206/306/20_120.png;https://cdn.sofifa.com/teams/70/60.png;https://cdn.sofifa.com/flags/fr.png;"5'8""";161lbs;4000000;Argent
4714;J. Frick;27;69;GK;https://cdn.sofifa.com/players/206/307/20_120.png;https://cdn.sofifa.com/teams/324/60.png;https://cdn.sofifa.com/flags/ch.png;"6'4""";198lbs;950000;Argent
4715;L. Azouni;26;69;RWB;https://cdn.sofifa.com/players/206/310/20_120.png;https://cdn.sofifa.com/teams/1891/60.png;https://cdn.sofifa.com/flags/tn.png;"5'9""";154lbs;1200000;Argent
4716;T. Ben Haim;29;71;LM;https://cdn.sofifa.com/players/206/316/20_120.png;https://cdn.sofifa.com/teams/267/60.png;https://cdn.sofifa.com/flags/il.png;"5'10""";165lbs;2300000;Argent
4717;N. Bitton;28;69;CB;https://cdn.sofifa.com/players/206/317/20_120.png;https://cdn.sofifa.com/teams/78/60.png;https://cdn.sofifa.com/flags/il.png;"6'4""";185lbs;925000;Argent
4718;G. Morrissey;28;62;CDM;https://cdn.sofifa.com/players/206/332/20_120.png;https://cdn.sofifa.com/teams/422/60.png;https://cdn.sofifa.com/flags/ie.png;"6'0""";179lbs;300000;Argent
4719;E. Golasa;23;68;CAM;https://cdn.sofifa.com/players/206/341/16_120.png;https://cdn.sofifa.com/teams/393/60.png;https://cdn.sofifa.com/flags/il.png;"5'8""";154lbs;1200000;Argent
4720;H. Halldórsson;36;66;GK;https://cdn.sofifa.com/players/206/379/20_120.png;https://cdn.sofifa.com/teams/1341/60.png;https://cdn.sofifa.com/flags/is.png;"6'4""";194lbs;1000000;Argent
4721;D. Georgievski;32;66;LB;https://cdn.sofifa.com/players/206/399/20_120.png;https://cdn.sofifa.com/teams/112427/60.png;https://cdn.sofifa.com/flags/mk.png;"5'10""";165lbs;400000;Argent
4722;M. Putnocký;35;68;GK;https://cdn.sofifa.com/players/206/402/20_120.png;https://cdn.sofifa.com/teams/111092/60.png;https://cdn.sofifa.com/flags/sk.png;"6'5""";201lbs;240000;Argent
4723;João Pereira;36;74;RB;https://cdn.sofifa.com/players/206/407/20_120.png;https://cdn.sofifa.com/teams/436/60.png;https://cdn.sofifa.com/flags/pt.png;"5'8""";146lbs;1000000;Argent
4724;T. Boyd;29;66;ST;https://cdn.sofifa.com/players/206/408/20_120.png;https://cdn.sofifa.com/teams/110482/60.png;https://cdn.sofifa.com/flags/us.png;"6'2""";181lbs;650000;Argent
4725;T. Marsh;26;61;LM;https://cdn.sofifa.com/players/206/409/20_120.png;https://cdn.sofifa.com/teams/361/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";176lbs;300000;Argent
4726;D. Garmash;30;74;CAM;https://cdn.sofifa.com/players/206/411/20_120.png;https://cdn.sofifa.com/teams/101047/60.png;https://cdn.sofifa.com/flags/ua.png;"6'1""";161lbs;5500000;Argent
4727;M. Koval;27;66;GK;https://cdn.sofifa.com/players/206/412/20_120.png;https://cdn.sofifa.com/teams/112390/60.png;https://cdn.sofifa.com/flags/ua.png;"6'2""";174lbs;550000;Argent
4728;T. Stepanenko;30;79;CDM;https://cdn.sofifa.com/players/206/413/20_120.png;https://cdn.sofifa.com/teams/101059/60.png;https://cdn.sofifa.com/flags/ua.png;"5'11""";176lbs;10500000;Or
4729;V. Haroyan;24;62;CB;https://cdn.sofifa.com/players/206/423/18_120.png;https://cdn.sofifa.com/teams/111264/60.png;https://cdn.sofifa.com/flags/am.png;"6'1""";168lbs;350000;Argent
4730;M. Morozyuk;32;74;RB;https://cdn.sofifa.com/players/206/424/20_120.png;https://cdn.sofifa.com/teams/101037/60.png;https://cdn.sofifa.com/flags/ua.png;"5'9""";157lbs;3500000;Argent
4731;B. Butko;28;72;RB;https://cdn.sofifa.com/players/206/427/20_120.png;https://cdn.sofifa.com/teams/873/60.png;https://cdn.sofifa.com/flags/ua.png;"5'11""";150lbs;2700000;Argent
